Club,Distance,Confidence,Ball Flight
driver,253,7,fade
driver,256,9,straight
driver,245,9,straight
driver,234,6,draw
driver,185,4,shank
threewood,200,9,straight
threewood,187,8,straight
threewood,189,8,straight
threewood,195,10,straight
threewood,185,8,fade
fourhybrid,180,9,straight
fourhybrid,174,9,straight
fourhybrid,150,7,fade
fourhybrid,156,6,straight
fourhybrid,100,3,shank
fiveiron,170,8,straight
fiveiron,168,9,shank
fiveiron,166,8,fade
fiveiron,175,7,straight
fiveiron,160,8,straight
sixiron,155,4,straight
sixiron,150,8,straight
sixiron,160,6,straight
sixiron,100,2,shank
sixiron,145,10,fade
seveniron,140,8,draw
seveniron,148,8,shank
seveniron,126,6,straight
seveniron,150,9,straight
seveniron,150,8,straight
eightiron,140,6,straight
eightiron,136,4,fade
eightiron,110,9,straight
eightiron,139,8,straight
eightiron,135,8,fade
nineiron,129,10,straight
nineiron,126,8,shank
nineiron,130,9,straight
nineiron,140,9,shank
nineiron,136,7,fade
pitchingwedge,110,6,straight
pitchingwedge,126,3,shank
pitchingwedge,105,8,straight
pitchingwedge,75,9,shank
pitchingwedge,108,8,fade
sandwedge,80,7,straight
sandwedge,72,8,straight
sandwedge,75,4,straight
sandwedge,70,8,straight
sandwedge,82,6,straight
gapwedge,95,7,shank
gapwedge,82,6,fade
gapwedge,90,4,draw
gapwedge,78,9,shank
gapwedge,56,8,straight
lobwedge,67,8,straight
lobwedge,65,10,straight
lobwedge,62,8,straight
lobwedge,70,9,straight
lobwedge,67,9,straight